información	TEMATICA - HOMOLOGACIÓN	2
quisera	TEMATICA - HOMOLOGACIÓN	1
solicitar	TEMATICA - HOMOLOGACIÓN	1
tres	TEMATICA - HOMOLOGACIÓN	2
decision	TEMATICA - HOMOLOGACIÓN	1
nuevamente	TEMATICA - HOMOLOGACIÓN	1
pena	TEMATICA - HOMOLOGACIÓN	1
''	TEMATICA - HOMOLOGACIÓN	1
solicitan	TEMATICA - HOMOLOGACIÓN	1
oportunidades	TEMATICA - HOMOLOGACIÓN	1
imágenes	TEMATICA - HOMOLOGACIÓN	2
informa	TEMATICA - HOMOLOGACIÓN	1
solicitada	TEMATICA - HOMOLOGACIÓN	2
demasiado	TEMATICA - HOMOLOGACIÓN	1
ustedes	TEMATICA - HOMOLOGACIÓN	1
enviar	TEMATICA - HOMOLOGACIÓN	2
veces	TEMATICA - HOMOLOGACIÓN	1
comunicado	TEMATICA - HOMOLOGACIÓN	1
xiaomi	TEMATICA - HOMOLOGACIÓN	1
trato	TEMATICA - HOMOLOGACIÓN	2
saber	TEMATICA - HOMOLOGACIÓN	1
aceptadas	TEMATICA - HOMOLOGACIÓN	1
dicha	TEMATICA - HOMOLOGACIÓN	1
2017545908	TEMATICA - HOMOLOGACIÓN	1
buenos	TEMATICA - HOMOLOGACIÓN	1
complementacionhomologacion.	TEMATICA - HOMOLOGACIÓN	1
tercera	TEMATICA - HOMOLOGACIÓN	1
respondido	TEMATICA - HOMOLOGACIÓN	1
dato	TEMATICA - HOMOLOGACIÓN	1
realizo	TEMATICA - HOMOLOGACIÓN	1
causa	TEMATICA - HOMOLOGACIÓN	1
varias	TEMATICA - HOMOLOGACIÓN	1
general	TEMATICA - HOMOLOGACIÓN	1
días	TEMATICA - HOMOLOGACIÓN	1
salida	TEMATICA - HOMOLOGACIÓN	1
2017545910	TEMATICA - HOMOLOGACIÓN	1
proceso	TEMATICA - HOMOLOGACIÓN	1
tefonos	TEMATICA - HOMOLOGACIÓN	1
imei	TEMATICA - HOMOLOGACIÓN	2
homologacion	TEMATICA - HOMOLOGACIÓN	2
parecer	TEMATICA - HOMOLOGACIÓN	1
homologación	TEMATICA - HOMOLOGACIÓN	1
comunicaciones	TEMATICA - HOMOLOGACIÓN	1
ingreso	TEMATICA - HOMOLOGACIÓN	1
complementacionhomologacion	TEMATICA - HOMOLOGACIÓN	1
2017544785	TEMATICA - HOMOLOGACIÓN	1
tratando	TEMATICA - HOMOLOGACIÓN	1
mi5	TEMATICA - HOMOLOGACIÓN	1
página	TEMATICA - HOMOLOGACIÓN	2
dia	TEMATICA - HOMOLOGACIÓN	1
solicitud	TEMATICA - HOMOLOGACIÓN	2
fcc-id	TEMATICA - HOMOLOGACIÓN	2
hoy	TEMATICA - HOMOLOGACIÓN	1
radicado	TEMATICA - HOMOLOGACIÓN	1
aviso	TEMATICA - HOMOLOGACIÓN	1
vez	TEMATICA - HOMOLOGACIÓN	1
claras	TEMATICA - HOMOLOGACIÓN	2
especificas	TEMATICA - HOMOLOGACIÓN	1
aparece	TEMATICA - HOMOLOGACIÓN	2
recibido	TEMATICA - HOMOLOGACIÓN	1
celular	TEMATICA - HOMOLOGACIÓN	1
equipo	TEMATICA - HOMOLOGACIÓN	1
información	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
quisera	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
solicitar	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
tres	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
decision	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
nuevamente	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
pena	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
''	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
solicitan	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
oportunidades	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
imágenes	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
informa	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
solicitada	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
demasiado	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
ustedes	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
enviar	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
veces	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
comunicado	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
xiaomi	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
trato	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
saber	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
aceptadas	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
dicha	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
2017545908	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
buenos	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
complementacionhomologacion.	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
tercera	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
respondido	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
dato	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
realizo	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
causa	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
varias	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
general	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
días	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
salida	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
2017545910	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
proceso	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
tefonos	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	1
imei	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
homologacion	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	2
parecer	SUBTEMATICA - ACLARACION RESPUESTA NO COINCIDE MARCA/MODELO	0
